"Geo","tick","run","random_seed"
"Bacteria 77.90268678218126 35.84108513314277 0.5697482358435487",1.0,1,1320654299
"Bacteria 302.90530482307076 279.7836308600381 0.5697482358435487",1.0,1,1320654299
"Bacteria 122.14730528648943 117.15235898736864 0.5697482358435487",1.0,1,1320654299
"Bacteria 41.78920399863273 482.9863087506965 0.5697482358435487",1.0,1,1320654299
"Bacteria 198.05755210109055 497.55670758895576 0.5697482358435487",1.0,1,1320654299
"Bacteria 41.47811726529498 483.2163667229445 0.5855860834008205",101.0,1,1320654299
"Bacteria 41.709155206737 481.76930392818707 0.5981631015939272",101.0,1,1320654299
"Bacteria 77.0124550264299 35.89513868379263 0.6894547179576236",101.0,1,1320654299
"Bacteria 122.79651484518946 117.44816224855263 0.6894547179576236",101.0,1,1320654299
"Bacteria 120.60303267567357 116.92976420340418 0.6073300399292667",101.0,1,1320654299
"Bacteria 78.10538194711371 35.1918737828373 0.5855860834008205",101.0,1,1320654299
"Bacteria 42.70085999987331 482.4096331460455 0.582566052519975",101.0,1,1320654299
"Bacteria 197.75203294880907 499.05778652465443 0.6023074613724226",101.0,1,1320654299
"Bacteria 41.70814552595178 484.3820306806261 0.6028240989488897",101.0,1,1320654299
"Bacteria 303.8535508953709 280.4064572503373 0.5877551658425548",101.0,1,1320654299
"Bacteria 198.26502961801697 497.9899744727438 0.583121560716304",101.0,1,1320654299
"Bacteria 78.73299709997674 36.20072694482301 0.6028240989488897",101.0,1,1320654299
"Bacteria 302.6749248712144 280.602475553993 0.6073300399292667",101.0,1,1320654299
"Bacteria 121.77242017874353 116.68589236444154 0.5877551658425548",101.0,1,1320654299
"Bacteria 198.10259237137186 496.63646091724274 0.78094283281016",101.0,1,1320654299
"Bacteria 302.5506513565052 279.27212328933814 0.6894547179576236",101.0,1,1320654299
"Bacteria 198.0192896400875 494.943092791479 0.6076126787961782",201.0,1,1320654299
"Bacteria 122.09691628503586 116.65507424059568 0.7150059560647681",201.0,1,1320654299
