"Geo","tick","run","random_seed"
"Bacteria 33.8568581501022 335.7962929876521 0.5697482358435487",1.0,1,1324154428
"Bacteria 366.4808402536437 288.30586024560034 0.5697482358435487",1.0,1,1324154428
"Bacteria 483.8894355343655 356.4160948153585 0.5697482358435487",1.0,1,1324154428
"Bacteria 144.5911490591243 317.2679276904091 0.5697482358435487",1.0,1,1324154428
"Bacteria 55.57289405260235 376.19668361730874 0.5697482358435487",1.0,1,1324154428
"Bacteria 483.45879846009325 356.1845488933022 0.6894547179576236",101.0,1,1324154428
"Bacteria 34.1952822202463 335.1570043663696 0.5855860834008205",101.0,1,1324154428
"Bacteria 32.94273895749166 335.77534710030943 0.7586342078746815",101.0,1,1324154428
"Bacteria 34.62790163323109 336.22750248396005 0.5692231302828745",101.0,1,1324154428
"Bacteria 367.2697762357514 288.2547818753467 0.5993357699682262",101.0,1,1324154428
"Bacteria 484.56386439255414 356.77872325857 0.5654255984294186",101.0,1,1324154428
"Bacteria 144.03150237635802 317.76901136022354 0.6894547179576236",101.0,1,1324154428
"Bacteria 366.1145356358645 288.82537188348454 0.6894547179576236",101.0,1,1324154428
"Bacteria 366.7855037790969 287.1739415308159 0.5853104578965141",101.0,1,1324154428
"Bacteria 55.85115185801684 375.4854245066645 0.5682072622853727",101.0,1,1324154428
"Bacteria 144.96832250625295 316.9302227403696 0.5682072622853727",101.0,1,1324154428
"Bacteria 55.393022377529824 376.6564564076953 0.6894547179576236",101.0,1,1324154428
"Bacteria 34.43778612689423 335.00871226887904 0.7548208798892552",201.0,1,1324154428
"Bacteria 34.649580499432766 336.3155689952829 0.5692231302828745",201.0,1,1324154428
"Bacteria 366.64966511592223 286.9470538703096 0.6823653097800293",201.0,1,1324154428
"Bacteria 145.0883608601648 316.8227455395753 0.779550347923576",201.0,1,1324154428
"Bacteria 55.38105511818286 376.6870461057188 0.7796069726008343",201.0,1,1324154428
"Bacteria 483.4300549076047 356.1690939945913 0.7796069726008343",201.0,1,1324154428
"Bacteria 32.36531995571534 336.44001060099635 0.5681930996464853",201.0,1,1324154428
"Bacteria 33.06574020000837 335.41238991964 0.6757574814125278",201.0,1,1324154428
"Bacteria 367.6382901658491 289.0615093240567 0.5696289723493883",201.0,1,1324154428
"Bacteria 484.6145959106265 356.8060006966531 0.5654255984294186",201.0,1,1324154428
"Bacteria 367.40341939207 287.94672531919855 0.5696289723493883",201.0,1,1324154428
"Bacteria 143.93902869137207 317.8518083370685 0.7635818109448196",201.0,1,1324154428
"Bacteria 366.0081168190785 288.8711498406078 0.7796069726008343",201.0,1,1324154428
"Bacteria 55.87206012522258 375.4319805591854 0.5682072622853727",201.0,1,1324154428
"Bacteria 34.467304160396765 334.9954674129701 0.7691750716130554",301.0,1,1324154428
"Bacteria 34.65078996511634 336.32332109799705 0.5692231302828745",301.0,1,1324154428
"Bacteria 366.64966492871343 286.9470536220216 0.6823653097800293",301.0,1,1324154428
"Bacteria 144.9817754167195 317.4829188872528 0.5972782065767841",301.0,1,1324154428
"Bacteria 55.379200992792406 376.6917854645103 0.7946206983994248",301.0,1,1324154428
"Bacteria 483.4256023845894 356.16669995188505 0.7946206983994248",301.0,1,1324154428
"Bacteria 145.38758759097433 316.20232156596506 0.7463761584624924",301.0,1,1324154428
"Bacteria 32.343578483397174 336.4726389435278 0.5681930996464853",301.0,1,1324154428
"Bacteria 33.043705680046905 335.4017221842834 0.711405018295173",301.0,1,1324154428
"Bacteria 367.6382902467456 289.06150970802213 0.5696289723493883",301.0,1,1324154428
"Bacteria 484.62343208276394 356.81075174979554 0.5654255984294186",301.0,1,1324154428
"Bacteria 367.4034195797235 287.94672529161295 0.5696289723493883",301.0,1,1324154428
"Bacteria 143.71347289305265 317.97544200242965 0.7635818109448196",301.0,1,1324154428
"Bacteria 366.0081168190785 288.8711498406078 0.7946206983994248",301.0,1,1324154428
"Bacteria 55.875703126468345 375.42266862695783 0.5682072622853727",301.0,1,1324154428
"Bacteria 34.4723135624794 334.99404344164765 0.7691750716130554",401.0,1,1324154428
"Bacteria 34.65078996511634 336.32332109799705 0.5692231302828745",401.0,1,1324154428
"Bacteria 366.6496649099977 286.9470535972004 0.6823653097800293",401.0,1,1324154428
"Bacteria 144.99043989678307 317.5169840488678 0.607989115057673",401.0,1,1324154428
"Bacteria 55.37894446970256 376.69244116717664 0.7966896606722799",401.0,1,1324154428
"Bacteria 483.4249863722881 356.1663687329894 0.7966896606722799",401.0,1,1324154428
"Bacteria 145.39538380170893 316.17715213872157 0.7918402815162293",401.0,1,1324154428
"Bacteria 32.33948600492499 336.47891968996856 0.5681930996464853",401.0,1,1324154428
"Bacteria 33.04051469091898 335.3994630238079 0.7189753738091893",401.0,1,1324154428
"Bacteria 367.63829025483295 289.0615097464071 0.5696289723493883",401.0,1,1324154428
"Bacteria 484.62466640071017 356.8114154206775 0.5654255984294186",401.0,1,1324154428
"Bacteria 367.4034195984889 287.94672528885184 0.5696289723493883",401.0,1,1324154428
"Bacteria 143.69972270754957 317.9805764479158 0.7635818109448196",401.0,1,1324154428
"Bacteria 366.0081168190785 288.8711498406078 0.7966896606722799",401.0,1,1324154428
"Bacteria 55.87621206507217 375.4213677210662 0.5682072622853727",401.0,1,1324154428
"Bacteria 34.47331328158827 334.9937605865394 0.7691750716130554",501.0,1,1324154428
"Bacteria 34.65078996511634 336.32332109799705 0.5692231302828745",501.0,1,1324154428
"Bacteria 145.13178859336446 315.82403519333093 0.5642328904856778",501.0,1,1324154428
"Bacteria 366.64966490456305 286.94705358999414 0.6823653097800293",501.0,1,1324154428
"Bacteria 144.98897131146805 317.5326988676533 0.6113764539753391",501.0,1,1324154428
"Bacteria 55.37890930494716 376.69253105235697 0.79696654782461",501.0,1,1324154428
"Bacteria 483.4249019323313 356.1663233311211 0.79696654782461",501.0,1,1324154428
"Bacteria 145.83017684757093 316.71093365615314 0.5646583161487322",501.0,1,1324154428
"Bacteria 32.338674887180105 336.4801694878035 0.5681930996464853",501.0,1,1324154428
"Bacteria 33.03988072269308 335.39901371985394 0.7204643270665501",501.0,1,1324154428
"Bacteria 367.63829025717916 289.06150975755696 0.5696289723493883",501.0,1,1324154428
"Bacteria 484.6248351076927 356.8115061314329 0.5654255984294186",501.0,1,1324154428
"Bacteria 367.4034196039365 287.9467252880592 0.5696289723493883",501.0,1,1324154428
"Bacteria 143.69021927637954 317.983915876982 0.7635818109448196",501.0,1,1324154428
"Bacteria 366.0081168190785 288.8711498406078 0.79696654782461",501.0,1,1324154428
"Bacteria 55.876281633465894 375.4211898962121 0.5682072622853727",501.0,1,1324154428
"Bacteria 34.47351131207756 334.99370460892266 0.7691750716130554",601.0,1,1324154428
"Bacteria 34.65078996511634 336.32332109799705 0.5692231302828745",601.0,1,1324154428
"Bacteria 145.13136393269312 315.82349690474064 0.5642328904856778",601.0,1,1324154428
"Bacteria 366.6496649022714 286.94705358695927 0.6823653097800293",601.0,1,1324154428
"Bacteria 144.98924932967947 317.53337874263974 0.6124215681541856",601.0,1,1324154428
"Bacteria 55.37890439915108 376.69254359213795 0.7970034558802959",601.0,1,1324154428
"Bacteria 483.42489015386707 356.1663169980483 0.7970034558802959",601.0,1,1324154428
"Bacteria 145.8320448304724 316.71006402434733 0.5658060502252521",601.0,1,1324154428
"Bacteria 32.33851466839286 336.4804165537911 0.5681930996464853",601.0,1,1324154428
"Bacteria 33.03975497912402 335.39892464270673 0.7207525879422089",601.0,1,1324154428
"Bacteria 367.6382902581799 289.0615097622674 0.5696289723493883",601.0,1,1324154428
"Bacteria 484.6248585813299 356.81151875279 0.5654255984294186",601.0,1,1324154428
"Bacteria 367.4034196062308 287.9467252877419 0.5696289723493883",601.0,1,1324154428
"Bacteria 143.68924245254118 317.98425495789013 0.7635818109448196",601.0,1,1324154428
"Bacteria 366.0081168190785 288.8711498406078 0.7970034558802959",601.0,1,1324154428
"Bacteria 55.87629131466964 375.4211651499358 0.5682072622853727",601.0,1,1324154428
